Assets,Bank Name,Address,City,State,ZIP,URL,County,Parent Holding Company,Region
"$496,032,000",Bank of Agriculture and Commerce,2021 West March Lane,Stockton,California,95202,www.bankbac.com,San Joaquin,Bac Financial Inc.,"Stockton-Lodi, CA"
"$491,494,000",Plumas Bank,336 West Main Street,Quincy,California,95971,http://www.plumasbank.com,Plumas,Plumas Bancorp, 
"$490,140,000",Security Bank of California,"3403 Tenth Street, Suite 100",Riverside,California,92501,http://www.securitybankca.com,Riverside,Security California Bancorp,"Riverside-San Bernardino-Ontario, CA"
"$489,304,000","1st Century Bank,  National Association","1875 Century Park East, Suite 1400",Los Angeles,California,90067,http://www.1cbank.com/,Los Angeles,"1st Century Bancshares, Inc.","Los Angeles-Long Beach-Anaheim, CA"
"$483,502,000",First Commercial Bank (USA),200 East Main Street,Alhambra,California,91801,http://bankfcb.com,Los Angeles,"First Financial Holding Co., Ltd.","Los Angeles-Long Beach-Anaheim, CA"
"$481,240,000","Bank of Manhattan, N.A.","2141 Rosecrans Avenue, Suite 1160",El Segundo,California,90245,www.bankofmanhattan.com,Los Angeles,"Carpenter Bank Partners, Inc.","Los Angeles-Long Beach-Anaheim, CA"
"$466,477,000",Bank of the Orient,233 Sansome Street,San Francisco,California,94104,www.bankorient.com,San Francisco,Orient Bancorporation,"San Francisco-Oakland-Hayward, CA"
"$466,231,000",Bank of Sacramento,"1750 Howe Avenue, Suite 100",Sacramento,California,95825,http://www.bankofsacramento.com,Sacramento,Greater Sacramento Bancorp,"Sacramento-Roseville-Arden-Arcade, CA"
"$464,547,000",California First National Bank,28 Executive Park,Irvine,California,92614,WWW.CALFIRST.COM,Orange,California First National Bancorp,"Los Angeles-Long Beach-Anaheim, CA"
"$463,926,000",Plaza Bank,"18200 Von Karman Avenue., Suite 500",Irvine,California,92612,http://www.plazabank.net,Orange,"Carpenter Bank Partners, Inc.","Los Angeles-Long Beach-Anaheim, CA"
"$460,733,000",The Bank of Hemet,3715 Sunnyside Drive,Riverside,California,92506,http://www.bankofhemet.com,Riverside,Hemet Bancorp,"Riverside-San Bernardino-Ontario, CA"
"$456,824,000",Metro United Bank,7320 Clairemont Mesa Boulevard,San Diego,California,92111,http://www.metrounitedbank.com,San Diego,"Metrocorp Bancshares, Inc.","San Diego-Carlsbad, CA"
"$444,938,000",Mission Community Bank,3380 S. Higuera Street,San Luis Obispo,California,93401,http://www.missioncommunitybank.com,San Luis Obispo,"Carpenter Bank Partners, Inc.","San Luis Obispo-Paso Robles-Arroyo Grande, CA"
"$439,961,000",The Private Bank of California,"10100 Santa Monica Boulevard, Suite 2500",Century City,California,90067,http://www.beachbusinessbank.com,Los Angeles,"First Pactrust Bancorp, Inc.","Los Angeles-Long Beach-Anaheim, CA"
"$439,033,000",GBC International Bank,"5670 Wilshire Boulevard, Suite 1780",Los Angeles,California,90036,http://www.gbcib.com,Los Angeles,"Gbc Holdings, Inc.","Los Angeles-Long Beach-Anaheim, CA"
"$433,186,000",Presidio Bank,One Montgomery Tower,San Francisco,California,94111,http://www.presidiobank.com,San Francisco, ,"San Francisco-Oakland-Hayward, CA"
"$432,436,000",Avidbank,400 Emerson Street,Palo Alto,California,94301,http://www.avidbank.com,Santa Clara,"Avidbank Holdings, Inc.","San Jose-Sunnyvale-Santa Clara, CA"
"$432,067,000",Summit State Bank,500 Bicentennial Way,Santa Rosa,California,95403,http://www.summitstatebank.com,Sonoma, ,"Santa Rosa, CA"
"$418,435,000",American Security Bank,"1401 Dove Street, Suite 100",Newport Beach,California,92660,http://www.amsecbank.com,Orange,"America Bancshares, Inc.","Los Angeles-Long Beach-Anaheim, CA"
"$411,573,000","Wells Fargo Bank, Ltd.",707 Wilshire Boulevard,Los Angeles,California,90017, ,Los Angeles,Wells Fargo & Company,"Los Angeles-Long Beach-Anaheim, CA"
"$400,904,000","TomatoBank, National Association",1420 East Valley Boulevard,Alhambra,California,91801,http://www.tomatobank.com,Los Angeles,Tfc Holding Company,"Los Angeles-Long Beach-Anaheim, CA"
"$381,152,000",Santa Cruz County Bank,720 Front St,Santa Cruz,California,95060,http://www.sccountybank.com,Santa Cruz, ,"Santa Cruz-Watsonville, CA"
"$381,074,000",First Credit Bank,9255 Sunset Boulevard,Los Angeles,California,90069, ,Los Angeles, ,"Los Angeles-Long Beach-Anaheim, CA"
"$369,528,000",1st Capital Bank,"5 Harris Court, Building N, Suite #3",Monterey,California,93940,www.1stcapitalbank.com,Monterey, ,"Salinas, CA"
